case,start,solver,stopping,condition,converged,residual_calls,jacobian_calls,residual_norm,relative_residual,gradient_infinity,gradient_orthogonality,parameter_error,equivalent_parameter_error,fit_target,recovery_target,termination,parameters
collinear-1e-4,1,qr,relative,2.44948975e4,true,21,20,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,3.00426350e-13,3.00426350e-13,true,true,"SolverConverged","[1.0000000000003004, -1.0000000000003004]"
collinear-1e-4,1,trust-cholesky,relative,2.44948975e4,true,3,3,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,true,true,"SolverConverged","[1.0, -1.0]"
collinear-1e-4,1,trust-qr,relative,2.44948975e4,true,3,3,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,3.65041330e-13,3.65041330e-13,true,true,"SolverConverged","[0.999999999999635, -0.999999999999635]"
collinear-1e-4,1,minpack,relative,2.44948975e4,true,3,2,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,5.55111512e-13,5.55111512e-13,true,true,"ResidualsZero","[0.9999999999994449, -0.9999999999994449]"
collinear-1e-4,1,cholesky,gradient-only,2.44948975e4,true,20,20,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.69197989e-13,1.69197989e-13,true,true,"SolverConverged","[1.0000000000001692, -1.0000000000001692]"
collinear-1e-4,1,qr,gradient-only,2.44948975e4,true,21,21,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,3.00426350e-13,3.00426350e-13,true,true,"SolverConverged","[1.0000000000003004, -1.0000000000003004]"
collinear-1e-4,1,trust-cholesky,gradient-only,2.44948975e4,true,3,3,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,true,true,"SolverConverged","[1.0, -1.0]"
collinear-1e-4,1,trust-qr,gradient-only,2.44948975e4,true,3,3,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,3.65041330e-13,3.65041330e-13,true,true,"SolverConverged","[0.999999999999635, -0.999999999999635]"
collinear-1e-4,1,minpack,gradient-only,2.44948975e4,true,3,2,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,5.55111512e-13,5.55111512e-13,true,true,"ResidualsZero","[0.9999999999994449, -0.9999999999994449]"
collinear-1e-4,1,cholesky,model-only,2.44948975e4,true,20,20,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.69197989e-13,1.69197989e-13,true,true,"SolverConverged","[1.0000000000001692, -1.0000000000001692]"
collinear-1e-4,1,qr,model-only,2.44948975e4,true,21,21,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,3.00426350e-13,3.00426350e-13,true,true,"SolverConverged","[1.0000000000003004, -1.0000000000003004]"
collinear-1e-4,1,trust-cholesky,model-only,2.44948975e4,true,3,3,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,true,true,"SolverConverged","[1.0, -1.0]"
collinear-1e-4,1,trust-qr,model-only,2.44948975e4,true,3,3,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,3.65041330e-13,3.65041330e-13,true,true,"SolverConverged","[0.999999999999635, -0.999999999999635]"
collinear-1e-4,1,minpack,model-only,2.44948975e4,true,3,2,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,5.55111512e-13,5.55111512e-13,true,true,"ResidualsZero","[0.9999999999994449, -0.9999999999994449]"
collinear-1e-4,1,cholesky,step-only,2.44948975e4,true,20,20,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.69197989e-13,1.69197989e-13,true,true,"SolverConverged","[1.0000000000001692, -1.0000000000001692]"
collinear-1e-4,1,qr,step-only,2.44948975e4,true,21,20,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,3.00426350e-13,3.00426350e-13,true,true,"SolverConverged","[1.0000000000003004, -1.0000000000003004]"
collinear-1e-4,1,trust-cholesky,step-only,2.44948975e4,true,3,3,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,true,true,"SolverConverged","[1.0, -1.0]"
collinear-1e-4,1,trust-qr,step-only,2.44948975e4,true,3,3,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,3.65041330e-13,3.65041330e-13,true,true,"SolverConverged","[0.999999999999635, -0.999999999999635]"
collinear-1e-4,1,minpack,step-only,2.44948975e4,true,3,2,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,5.55111512e-13,5.55111512e-13,true,true,"ResidualsZero","[0.9999999999994449, -0.9999999999994449]"
collinear-1e-4,1,cholesky,exact-progress,2.44948975e4,true,20,20,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.69197989e-13,1.69197989e-13,true,true,"SolverConverged","[1.0000000000001692, -1.0000000000001692]"
collinear-1e-4,1,qr,exact-progress,2.44948975e4,true,21,21,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,3.00426350e-13,3.00426350e-13,true,true,"SolverConverged","[1.0000000000003004, -1.0000000000003004]"
collinear-1e-4,1,trust-cholesky,exact-progress,2.44948975e4,true,3,3,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,true,true,"SolverConverged","[1.0, -1.0]"
collinear-1e-4,1,trust-qr,exact-progress,2.44948975e4,true,3,3,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,3.65041330e-13,3.65041330e-13,true,true,"SolverConverged","[0.999999999999635, -0.999999999999635]"
collinear-1e-4,1,minpack,exact-progress,2.44948975e4,true,3,2,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,5.55111512e-13,5.55111512e-13,true,true,"ResidualsZero","[0.9999999999994449, -0.9999999999994449]"
collinear-1e-8,0,cholesky,relative,2.44948975e8,true,2,1,1.41421356e-8,1.00000000e0,1.00005509e-16,4.08270781e-9,1.00000000e0,1.00000000e0,false,false,"SolverConverged","[3.333516947629358e-14, -3.3331497211615715e-14]"
collinear-1e-8,0,qr,relative,2.44948975e8,true,2,1,1.41421356e-8,1.00000000e0,1.00005509e-16,4.08270781e-9,1.00000000e0,1.00000000e0,false,false,"SolverConverged","[3.333516935609941e-14, -3.333149709126371e-14]"
collinear-1e-8,0,trust-cholesky,relative,2.44948975e8,true,84,68,4.71027738e-16,3.33066908e-8,6.66133816e-24,8.16496582e-9,3.79071460e-8,3.79071460e-8,false,true,"SolverConverged","[0.999999962092854, -0.999999962092854]"
collinear-1e-8,0,trust-qr,relative,2.44948975e8,true,3,2,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.23680807e-9,2.23680807e-9,true,true,"SolverConverged","[1.000000002236808, -1.000000002236808]"
collinear-1e-8,0,minpack,relative,2.44948975e8,true,2,1,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.22044605e-16,2.22044605e-16,true,true,"ResidualsZero","[0.9999999999999998, -0.9999999999999998]"
collinear-1e-8,0,cholesky,gradient-only,2.44948975e8,false,600,100,6.28036983e-16,4.44089210e-8,8.88178419e-24,8.16496580e-9,4.76361569e-8,4.76361569e-8,false,true,"MaxIter","[0.9999999523638431, -0.9999999523638431]"
collinear-1e-8,0,qr,gradient-only,2.44948975e8,true,36,36,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.99495109e-9,1.99495109e-9,true,true,"SolverConverged","[1.000000001994951, -1.000000001994951]"
collinear-1e-8,0,trust-cholesky,gradient-only,2.44948975e8,false,600,68,4.71027738e-16,3.33066908e-8,6.66133816e-24,8.16496582e-9,3.79071460e-8,3.79071460e-8,false,true,"MaxIter","[0.999999962092854, -0.999999962092854]"
collinear-1e-8,0,trust-qr,gradient-only,2.44948975e8,true,3,3,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.23680807e-9,2.23680807e-9,true,true,"SolverConverged","[1.000000002236808, -1.000000002236808]"
collinear-1e-8,0,minpack,gradient-only,2.44948975e8,true,2,1,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.22044605e-16,2.22044605e-16,true,true,"ResidualsZero","[0.9999999999999998, -0.9999999999999998]"
collinear-1e-8,0,cholesky,model-only,2.44948975e8,true,2,1,1.41421356e-8,1.00000000e0,1.00005509e-16,4.08270781e-9,1.00000000e0,1.00000000e0,false,false,"SolverConverged","[3.333516947629358e-14, -3.3331497211615715e-14]"
collinear-1e-8,0,qr,model-only,2.44948975e8,true,2,1,1.41421356e-8,1.00000000e0,1.00005509e-16,4.08270781e-9,1.00000000e0,1.00000000e0,false,false,"SolverConverged","[3.333516935609941e-14, -3.333149709126371e-14]"
collinear-1e-8,0,trust-cholesky,model-only,2.44948975e8,true,110,68,4.71027738e-16,3.33066908e-8,6.66133816e-24,8.16496582e-9,3.79071460e-8,3.79071460e-8,false,true,"SolverConverged","[0.999999962092854, -0.999999962092854]"
collinear-1e-8,0,trust-qr,model-only,2.44948975e8,true,3,3,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.23680807e-9,2.23680807e-9,true,true,"SolverConverged","[1.000000002236808, -1.000000002236808]"
collinear-1e-8,0,minpack,model-only,2.44948975e8,true,2,1,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.22044605e-16,2.22044605e-16,true,true,"ResidualsZero","[0.9999999999999998, -0.9999999999999998]"
collinear-1e-8,0,cholesky,step-only,2.44948975e8,true,105,100,6.28036983e-16,4.44089210e-8,8.88178419e-24,8.16496580e-9,4.76361569e-8,4.76361569e-8,false,true,"SolverConverged","[0.9999999523638431, -0.9999999523638431]"
collinear-1e-8,0,qr,step-only,2.44948975e8,true,36,36,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.99495109e-9,1.99495109e-9,true,true,"SolverConverged","[1.000000001994951, -1.000000001994951]"
