mode,case,rounds,median_after_before_ratio,bootstrap_95_lower,bootstrap_95_upper
executor/cobyla-historical,camel,15,2.549856773717478,2.5297945387123635,2.6860919158937593
executor/cobyla-historical,quadratic,15,1.304835869698854,1.2931266753495045,1.330100361074316
executor/cobyla-historical,sphere,15,1.2829694806365846,1.2732244957959216,1.2975843908643094
executor/cobyla-historical,sphere_20,15,0.8571432589468105,0.8337856172331852,0.8636618453289208
executor/cobyla-historical,sphere_3,15,2.570143198840227,2.5614586514525697,2.6214207655445247
executor/cobyla-native,camel,15,2.5484465339644142,2.5242134430082577,2.66781956728567
executor/cobyla-native,quadratic,15,1.7148945844070242,1.7086614661703194,1.7683587189539427
executor/cobyla-native,sphere,15,1.2888217815576013,1.2870600940198322,1.3015124541508276
executor/cobyla-native,sphere_20,15,0.8578090800259639,0.855065932677806,0.8620006912064776
executor/cobyla-native,sphere_3,15,2.575539555984931,2.5669280199154065,2.622762003930263
executor/cobyla-rows,camel,15,2.4228310765489476,2.39356845022592,2.5041470077324757
executor/cobyla-rows,quadratic,15,1.6689906406309372,1.6654651262511946,1.7122920683645833
executor/cobyla-rows,sphere,15,1.2556950352530598,1.251684764571149,1.2609744465549004
executor/cobyla-rows,sphere_20,15,0.8462921225553762,0.8427946731137361,0.8529297272983896
executor/cobyla-rows,sphere_3,15,2.374491753628733,2.2986790139400006,2.409564473750105
lp-basin/lp-cobyla,camel,15,1.3695836806328718,1.3631428653356044,1.396326130603122
lp-basin/lp-cobyla,quadratic,15,1.4029894090809236,1.3987855015406303,1.4085386823161057
lp-basin/lp-cobyla,sphere,15,1.5473598135696918,1.5426288070338146,1.5528258812414464
lp-basin/lp-cobyla,sphere_20,15,1.4806555281567921,1.4766701543386194,1.4902787348940671
lp-basin/lp-cobyla,sphere_3,15,1.402246589798328,1.3908328818603595,1.4042685154431978
raw/cobyla-native,camel,15,2.0294117177711057,2.024660646673185,2.112418639147654
raw/cobyla-native,quadratic,15,1.4431107313291158,1.4142168507657822,1.465359930700236
raw/cobyla-native,sphere,15,1.254914948866961,1.2459459753765192,1.2641204235023822
raw/cobyla-native,sphere_20,15,0.8449137724575163,0.8419831864159137,0.8457195450003675
raw/cobyla-native,sphere_3,15,2.1477312425930406,2.140494602647056,2.1597550103209624
