comparison,mode,case,rounds,median_ratio,bootstrap_95_lower,bootstrap_95_upper
paired/before,executor,camel,15,0.9982067837412854,0.9965433910191022,1.0072689459465838
paired/before,executor,quadratic,15,0.9839129375569192,0.9728587061579822,0.9875608529467733
paired/before,executor,sphere,15,0.9906001439737238,0.9878049025224364,0.9924639352045159
paired/before,executor,sphere_1,15,0.9802261989461126,0.9770147864842671,0.981769177908283
paired/before,executor,sphere_20,15,0.9837385005567215,0.9829952368316085,0.9851662842962301
paired/before,executor,sphere_3,15,0.9664737687165118,0.9646242322775427,0.9682181126272776
paired/before,executor,sphere_40,15,0.9893220147296531,0.9843377482168504,0.9950441869470368
paired/before,executor,sphere_5,15,0.9894411180478843,0.9868446949807803,0.9937333406757926
paired/before,raw,camel,15,1.0346222772670481,1.031472584264835,1.0385896410369209
paired/before,raw,quadratic,15,1.022553431429756,1.0191202574866898,1.0251868242075977
paired/before,raw,sphere,15,0.999689721026569,0.9975329630740833,1.0048340582669735
paired/before,raw,sphere_1,15,0.9923031184194433,0.985241449375016,0.998881892169741
paired/before,raw,sphere_20,15,0.9797136118804174,0.9761267932395646,0.988877689229072
paired/before,raw,sphere_3,15,1.0130924836084056,1.0082945651468755,1.0260738633568511
paired/before,raw,sphere_40,15,0.9855193846902897,0.9823776967543264,0.9878977322349982
paired/before,raw,sphere_5,15,0.9705005612343782,0.964666394180471,0.9880558154415018
control/before,executor,camel,15,0.9976853603145573,0.9919559202231175,1.0017735284003046
control/before,executor,quadratic,15,1.0011649552719053,0.9868534535514567,1.0034083520658392
control/before,executor,sphere,15,0.9984320914106221,0.9952256137641342,1.0023954433730644
control/before,executor,sphere_1,15,1.0010424997269447,0.9954112782624682,1.009395379927872
control/before,executor,sphere_20,15,1.001482034650891,0.9979393503283708,1.01099532388958
control/before,executor,sphere_3,15,0.9971307913274862,0.9952229255029728,1.0032645132633466
control/before,executor,sphere_40,15,1.0009823175337975,0.9976334001030065,1.0113215456984068
control/before,executor,sphere_5,15,1.0011534190070301,0.9995786792653178,1.0138112314024508
control/before,raw,camel,15,0.9971384174530002,0.993526839989301,1.0021338882870447
control/before,raw,quadratic,15,0.9977724558400062,0.996032397748775,0.9992046298386794
control/before,raw,sphere,15,0.9988835379946942,0.9971943016013528,1.0031215295925318
control/before,raw,sphere_1,15,0.9920307400733751,0.9854795793742894,1.0091365714368619
control/before,raw,sphere_20,15,0.9971981552280119,0.9955304312468182,1.0163593552988328
control/before,raw,sphere_3,15,0.9884489120755912,0.9799598608499407,0.9998395373305708
control/before,raw,sphere_40,15,0.9988078043893183,0.9949587629014028,1.0119051716380634
