benchmark,estimate_ns,lower_ns,upper_ns,method
exp_fit/basin_faer,4624.381153808064,4589.934934472662,4643.4134959001985,slope
exp_fit/basin_faer-qr,9081.309333429728,9026.18669146951,9120.572854967,slope
exp_fit/basin_nalgebra,1818.1024812585788,1813.801161220632,1821.5439752232567,slope
exp_fit/basin_nalgebra-qr,5095.6759026111895,5076.1157347195785,5120.252279228706,slope
exp_fit/lm-crate,1745.5622050887464,1735.6706920825122,1761.2265683235287,slope
qr_regularization_128x8/cholesky_retry,234.1538056828978,233.80081283435803,234.6095083124275,slope
qr_regularization_128x8/factorize,78325.81738816739,77696.67282108935,79762.13013212249,slope
qr_regularization_128x8/qr_retry,767.2895698897973,765.7267595246544,770.5152516227246,slope
