case,start,solver,condition,converged,residual_calls,jacobian_calls,residual_norm,parameter_error,equivalent_parameter_error,termination,parameters
svi-width-0.01,0,qr,1.48482639e8,false,1200,1199,2.34402218e-7,3.12097652e-1,3.12097652e-1,"MaxIter","[0.025051463207099493, 0.13608891559579026, 0.012097652282352602, 0.05991369274452169, 0.2504651587251755]"
svi-width-0.01,0,minpack,1.48482639e8,false,1200,1186,2.70658214e-9,5.35545690e-2,5.35545690e-2,"LostPatience","[0.03035827801774489, 0.12172982674753179, -0.24644543096258514, 4.811079269193474e-7, 0.2435040681629013]"
svi-width-0.01,1,cholesky,1.48482639e8,false,1200,1194,4.08303575e-8,4.29060588e-1,4.29060588e-1,"MaxIter","[0.05662263811970216, 0.04115062947204811, -0.7290605876009125, -2.612611706503388e-6, 0.08207488714559708]"
svi-width-0.01,1,qr,1.48482639e8,false,1200,1194,4.08303583e-8,4.29060594e-1,4.29060594e-1,"MaxIter","[0.056622638174649506, 0.04115062913842143, -0.7290605935121635, -2.6126117422130358e-6, 0.08207488647576444]"
svi-width-0.01,1,minpack,1.48482639e8,false,1200,1173,1.26131207e-8,1.75796824e-1,1.75796824e-1,"LostPatience","[0.0520554226176582, 0.0630529875949553, -0.4757968238116239, -8.236767037798833e-7, 0.12599878629119968]"
svi-width-0.01,2,cholesky,1.48482639e8,false,1200,1199,1.97420390e-9,3.79798342e-2,3.79798342e-2,"MaxIter","[0.033778616555862326, 0.11449428791802928, -0.26202016584209376, 3.7565011948085014e-7, 0.22901904543173734]"
svi-width-0.01,2,qr,1.48482639e8,false,1200,1199,1.97420362e-9,3.79798285e-2,3.79798285e-2,"MaxIter","[0.03377861769080858, 0.11449428544140604, -0.2620201715207358, 3.756476241764692e-7, 0.22901904047360655]"
svi-width-0.01,2,minpack,1.48482639e8,true,10,7,1.38777878e-17,1.38017930e-11,1.38017930e-11,"Converged { ftol: false, xtol: true }","[0.03999999999837322, 0.10000000000403969, -0.2999999999861982, 3.3672202439006614e-13, 0.20000000000808746]"
ssvi-narrow-false,0,cholesky,8.29274818e0,true,8,7,1.55507099e-16,6.66133815e-16,6.66133815e-16,"SolverConverged","[-0.29999999999999993, 0.5000000000000007, 0.4999999999999996]"
ssvi-narrow-false,0,qr,8.29274818e0,true,8,7,1.44950654e-16,5.55111512e-16,5.55111512e-16,"SolverConverged","[-0.29999999999999993, 0.5000000000000006, 0.4999999999999996]"
ssvi-narrow-false,0,minpack,8.29274818e0,true,7,6,0.00000000e0,0.00000000e0,0.00000000e0,"ResidualsZero","[-0.3, 0.5, 0.5]"
ssvi-narrow-false,1,cholesky,8.29274818e0,true,8,7,3.86341262e-17,5.55111512e-17,5.55111512e-17,"SolverConverged","[-0.3, 0.49999999999999994, 0.5]"
