mode,case,rounds,median_after_before_ratio,bootstrap_95_lower,bootstrap_95_upper
executor,camel,15,0.9535581657790492,0.9393370446958293,0.9598663305215338
executor,quadratic,15,0.9452871124064435,0.9393913762514409,0.9566045919407442
executor,sphere,15,0.9957945033740273,0.9764786573315283,1.0401824465364544
executor,sphere_1,15,0.9571640496306693,0.9516966566532845,0.9721230759156934
executor,sphere_20,15,0.9939801402149221,0.9761839070197079,1.0054035687534644
executor,sphere_3,15,0.927919428667089,0.9198572578726435,0.9357682700059818
executor,sphere_40,15,1.0003865796234157,0.9931522406078129,1.0151707137547
executor,sphere_5,15,0.9884343513280544,0.9767149237243268,0.9966022424569698
lp-basin,camel,15,0.768142566479407,0.7591061510465572,0.7781789063971299
lp-basin,quadratic,15,0.8129084942535532,0.805789610509718,0.8277514355224693
lp-basin,sphere,15,0.9873387685307846,0.9837386987211947,0.9903601446570288
lp-basin,sphere_1,15,0.7272312486168793,0.7081768765660978,0.7355167445280181
lp-basin,sphere_20,15,0.9906864962398509,0.9884383146433778,0.9945172293645345
lp-basin,sphere_3,15,0.744227720203479,0.7335009126604861,0.7504834928935825
lp-basin,sphere_40,15,0.9994524501101751,0.9941688048329852,1.010676119534602
lp-basin,sphere_5,15,0.9890785253923529,0.9839850800749348,0.9951200697767125
lp-setup,camel,15,1.0082484381642252,0.986166266251769,1.0338747354927251
lp-setup,quadratic,15,0.9900842174616329,0.9058839175247522,1.0044183621772045
lp-setup,sphere,15,1.0055232327215675,0.9908581534211445,1.020127658402253
lp-setup,sphere_1,15,1.0000015028106537,0.9829750246763617,1.0157521544633261
lp-setup,sphere_20,15,1.0073564729072928,0.9938748066903449,1.017435814761488
lp-setup,sphere_3,15,1.0033486042567155,0.9810888322994977,1.0622691934480732
lp-setup,sphere_40,15,0.991743167335464,0.9771621634719739,1.0075793379948343
lp-setup,sphere_5,15,0.9976174326072581,0.9960861705972476,1.0269467808447146
raw,camel,15,0.9848809642410581,0.9616880542848733,1.0335309355093545
raw,quadratic,15,0.9371956093905605,0.9247338456950178,0.9553321820532972
raw,sphere,15,0.993616020705716,0.9806716542379773,1.001610953413283
raw,sphere_1,15,0.9485563816514363,0.9251989766135095,0.9675762273442919
raw,sphere_20,15,0.994046778337014,0.9840938007003908,1.0026098180509064
raw,sphere_3,15,0.8992949356257981,0.8933428191818041,0.9098379847210325
raw,sphere_40,15,1.0030370066535883,0.9947662510346543,1.009040086365971
raw,sphere_5,15,1.0111729690360485,0.9869881188229317,1.0219737227451773
