revision,mode,case,median_ns,q1_ns,q3_ns,mean_ns,stdev_ns
paired,lp-basin,camel,91.66428,91.07007756097562,91.8484131707317,91.78820539837399,1.3910494039961598
paired,lp-basin,quadratic,168.10390512820513,167.38923461538462,169.72719294871797,171.2475446153846,8.771936785057799
paired,lp-basin,sphere,589.836527027027,587.7856233108108,592.3463158783784,593.230372972973,9.67799797733447
paired,lp-basin,sphere_1,65.6313661111111,65.47625916666667,65.92887513888888,65.77642903703703,0.4330161409123955
paired,lp-basin,sphere_20,1945.6726312056737,1942.7510354609929,1949.7770177304965,1946.6882723404256,4.796604820854624
paired,lp-basin,sphere_3,121.28966771677167,120.96800601935193,123.35655518676867,122.40374599959996,2.3940130602145264
paired,lp-basin,sphere_40,7320.701684981685,7303.373758241758,7378.821062271062,7347.025682051282,64.70324703715711
paired,lp-basin,sphere_5,238.39283047945204,237.85848030821919,239.63440753424658,240.5778537671233,6.0149319700057475
before,lp-basin,camel,90.93510341463414,90.2505224390244,91.46184634146341,91.35717398373984,2.28398510999919
before,lp-basin,quadratic,168.29752307692308,167.81788653846155,168.9622423076923,169.0452746153846,2.0502526008181183
before,lp-basin,sphere,628.7214628378379,627.2759695945946,629.548677364865,629.3385576576577,3.074464021292671
before,lp-basin,sphere_1,65.66028166666666,65.52063722222222,66.15261194444444,65.95467862962963,0.9004670113165018
before,lp-basin,sphere_20,2151.2523262411346,2148.852687943262,2163.471393617021,2172.738155082742,51.011349389784904
before,lp-basin,sphere_3,123.93619580708071,123.22061862436243,125.59865127137714,124.67132094459446,2.0780329085791185
before,lp-basin,sphere_40,8690.932527472527,8643.830937728937,8753.526161172162,8702.259345543345,61.2669245722934
before,lp-basin,sphere_5,252.76060273972604,252.27465410958905,253.37044178082192,254.27751883561643,4.555409330152287
reference,lp-cobyla,camel,66.63041365853658,66.52689658536585,66.82727902439024,66.7760730406504,0.39960844484467417
reference,lp-cobyla,quadratic,119.9267935897436,119.81957179487179,120.28585897435897,120.077327008547,0.3612114409154938
reference,lp-cobyla,sphere,408.6502331081081,407.51750675675675,409.1284391891892,408.8868268018018,1.9227732228152847
reference,lp-cobyla,sphere_1,45.620868055555555,45.57520805555555,45.69350361111111,45.7571347962963,0.5374334472141291
reference,lp-cobyla,sphere_20,1496.8070780141843,1488.5040886524823,1511.1061063829789,1501.5289101654846,17.066159644200177
reference,lp-cobyla,sphere_3,88.39009807230723,88.12921026477648,88.88553714746475,89.4631295629563,3.878401717315577
reference,lp-cobyla,sphere_40,5511.249802197803,5496.864608058608,5540.144703296703,5528.898736996337,54.461096209986934
reference,lp-cobyla,sphere_5,150.70439212328768,150.43418835616438,151.45966352739725,151.85884429223745,3.736495842253837
reference,lp-prima,camel,932.3070624390244,926.4728439024391,937.7906560975609,939.7214285528455,28.090394802547813
reference,lp-prima,quadratic,1529.0268128205128,1521.1735506410257,1556.8378455128204,1549.6625131623932,42.4176035119656
reference,lp-prima,sphere,2456.7532027027028,2455.88720777027,2499.312358108108,2487.315751126126,53.18637923289542
reference,lp-prima,sphere_1,706.2951727777778,703.3922318055555,708.8314004166666,709.7022028333333,12.132943956546157
reference,lp-prima,sphere_20,4965.72970212766,4922.080244680851,5045.111028368794,5008.188246335698,111.93708023265698
reference,lp-prima,sphere_3,1077.255443669367,1071.8041601035102,1086.2022736648664,1090.1984587833783,38.672291774600815
reference,lp-prima,sphere_40,13520.108146520146,13405.30145054945,13719.308886446886,13565.293172161173,215.03669442966574
reference,lp-prima,sphere_5,1389.748029109589,1385.6575188356164,1402.8707148972603,1406.6511071917807,53.74987132409128
control,lp-basin,camel,90.55287024390243,90.22696097560976,90.71226097560975,90.40657190243903,0.4777555058216873
control,lp-basin,quadratic,168.78551153846155,168.2633923076923,169.3042807692308,169.30614452991455,2.275492629371592
control,lp-basin,sphere,628.5361114864864,627.6119273648649,632.1084070945947,630.2687105855856,4.161708611325944
control,lp-basin,sphere_1,65.59686083333334,65.42787819444445,66.37330875,66.23784135185186,1.4042766576174839
control,lp-basin,sphere_20,2152.3206879432623,2146.216769503546,2157.7803439716313,2168.9433035460993,46.79199067227595
control,lp-basin,sphere_3,123.86578626612662,123.70111526777677,124.54228782253224,124.34178311581158,1.2940118174127273
control,lp-basin,sphere_40,8644.876586080585,8633.640886446887,8649.847626373627,8659.20783980464,47.224340136194535
control,lp-basin,sphere_5,252.1447705479452,251.78730136986303,253.13203852739724,253.1465350456621,3.3564983735538836
