case,start,solver,stopping,condition,converged,residual_calls,jacobian_calls,residual_norm,relative_residual,gradient_infinity,gradient_orthogonality,parameter_error,equivalent_parameter_error,fit_target,recovery_target,termination,parameters
collinear-1e-8,0,trust-qr,radius-only,2.44948975e8,true,3,2,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.23680807e-9,2.23680807e-9,true,true,"SolverConverged","[1.000000002236808, -1.000000002236808]"
collinear-1e-8,0,minpack,radius-only,2.44948975e8,true,2,1,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.22044605e-16,2.22044605e-16,true,true,"ResidualsZero","[0.9999999999999998, -0.9999999999999998]"
collinear-1e-8,1,trust-cholesky,gradient-only,2.44948975e8,true,3,3,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.22044605e-16,2.22044605e-16,true,true,"SolverConverged","[1.0000000000000002, -1.0000000000000002]"
collinear-1e-8,1,trust-qr,gradient-only,2.44948975e8,true,3,3,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,3.31430705e-9,3.31430705e-9,true,true,"SolverConverged","[1.000000003314307, -1.000000003314307]"
collinear-1e-8,1,minpack,gradient-only,2.44948975e8,true,3,2,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.22044605e-16,2.22044605e-16,true,true,"ResidualsZero","[0.9999999999999998, -0.9999999999999998]"
collinear-1e-8,1,trust-cholesky,step-only,2.44948975e8,true,3,2,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.22044605e-16,2.22044605e-16,true,true,"SolverConverged","[1.0000000000000002, -1.0000000000000002]"
collinear-1e-8,1,trust-qr,step-only,2.44948975e8,true,3,2,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,3.31430705e-9,3.31430705e-9,true,true,"SolverConverged","[1.000000003314307, -1.000000003314307]"
collinear-1e-8,1,minpack,step-only,2.44948975e8,true,3,2,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.22044605e-16,2.22044605e-16,true,true,"ResidualsZero","[0.9999999999999998, -0.9999999999999998]"
collinear-1e-8,1,trust-cholesky,radius-only,2.44948975e8,true,3,2,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.22044605e-16,2.22044605e-16,true,true,"SolverConverged","[1.0000000000000002, -1.0000000000000002]"
collinear-1e-8,1,trust-qr,radius-only,2.44948975e8,true,3,2,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,3.31430705e-9,3.31430705e-9,true,true,"SolverConverged","[1.000000003314307, -1.000000003314307]"
