inputs,max_relative_step_error,max_scaled_metric_error,mismatches,mode,case
41,2.7755575615628914e-16,2.6757662316260827e-16,0,lp-cobyla,camel
148,2.7755575615628914e-16,2.0670318457399966e-16,0,lp-cobyla,sphere
52,2.71050543121376e-16,1.8667205520718318e-16,0,lp-cobyla,quadratic
18,4.3368086899420167e-16,4.2351647362752616e-16,0,lp-cobyla,sphere_1
48,3.2526065174565123e-16,2.5180035071096124e-16,0,lp-cobyla,sphere_3
73,3.4694469519536137e-16,2.247937171363512e-16,0,lp-cobyla,sphere_5
282,4.440892098500626e-16,1.903982954157784e-16,0,lp-cobyla,sphere_20
546,5.551115123125783e-16,1.2966546970367916e-16,0,lp-cobyla,sphere_40
